"","NC","ID","sec"
"403",199011802,244,8
"404",199012102,190,15
"405",199012104,352,11
"406",199012501,109,8
"407",199012502,376,11
"408",199012503,382,15
"409",199012701,91,8
"410",199013201,464,12
"411",199013902,82,8
"412",199013903,96,12
"413",199013904,146,8
"414",199013905,72,11
"415",199013907,703,8
"416",199014501,82,12
"417",199014502,86,12
"418",199014503,98,11
"419",199014504,152,12
"420",199014505,201,11
"421",199014506,222,12
"422",199014601,28,9
"423",199014602,96,11
"424",199014603,195,9
"425",199015001,24,12
"426",199015002,87,11
"427",199015003,114,8
"428",199015005,156,10
"429",199015007,28,12
"430",199015008,70,11
"431",199015009,103,11
"432",199015901,90,15
"433",199015903,178,8
"434",199016401,13,11
"435",199016402,145,9
"436",199017201,89,11
"437",199017203,118,15
"438",199017501,78,11
"439",199017502,168,12
"440",199017503,178,7
"441",199017601,90,12
"442",199017602,104,12
"443",199017603,105,12
"444",199017604,144,11
"445",199017607,16,15
"446",199017608,65,15
"447",199017901,91,12
"448",199017903,251,9
"449",199018001,45,12
"450",199018002,133,11
"451",199018003,19,8
"452",199018101,2,8
"453",199018102,27,12
"454",199018103,57,12
"455",199018104,84,11
"456",199018105,94,12
"457",199018106,112,10
"458",199018107,124,12
"459",199018108,128,9
"460",199018109,146,12
"461",199018110,183,7
"462",199018111,193,12
"463",199018114,76,12
"464",199018116,208,15
"465",199018118,139,15
"466",199019201,103,12
"467",199019202,113,11
"468",199019203,128,12
"469",199019204,60,9
"470",199019206,83,8
"471",199019207,105,12
"472",199019502,85,10
"473",199019701,121,15
"474",199019801,17,6
"475",199019802,31,12
"476",199019803,79,12
"477",199019804,152,10
"478",199020701,86,8
"479",199020702,192,9
"480",199020801,105,12
"481",199020802,144,10
"482",199100101,2,8
"483",199100102,4,12
"484",199100103,12,15
"485",199100104,50,15
"486",199100105,93,3
"487",199100106,176,11
"488",199100501,12,12
"489",199100505,40,5
"490",199101001,129,8
"491",199101002,135,12
"492",199101003,209,15
"493",199101004,251,10
"494",199101005,595,9
"495",199101202,3,15
"496",199101601,120,14
"497",199101602,199,9
"498",199101605,689,9
"499",199102001,40,12
"500",199102002,84,12
"501",199102003,125,10
"502",199102004,55,2
"503",199102005,355,11
"504",199102011,2,12
"505",199102201,131,11
"506",199102202,134,8
"507",199102203,243,11
"508",199102401,28,12
"509",199103001,120,8
"510",199103101,120,2
"511",199103302,115,9
"512",199103401,36,7
"513",199103402,109,10
"514",199103403,120,12
"515",199103701,3,8
"516",199103702,160,15
"517",199103801,45,15
"518",199104101,88,9
"519",199104102,115,12
"520",199104201,143,11
"521",199104203,54,12
"522",199104401,241,8
"523",199104402,1239,10
"524",199104501,19,12
"525",199104502,45,14
"526",199104503,123,9
"527",199104504,159,11
"528",199104701,19,15
"529",199104702,45,11
"530",199104703,57,9
"531",199104704,117,9
"532",199104705,123,9
"533",199104901,199,9
"534",199104902,227,8
"535",199104903,243,9
"536",199104905,492,15
"537",199104908,143,10
"538",199105101,146,15
"539",199105201,4,8
"540",199105202,6,12
"541",199105203,146,12
"542",199105206,158,11
"543",199105501,95,14
"544",199105502,209,15
"545",199105503,225,11
"546",199105901,4,7
"547",199106301,1240,12
"548",199106401,121,10
"549",199106901,104,15
"550",199107001,170,10
"551",199107002,254,12
"552",199107003,466,8
"553",199107004,742,10
"554",199107101,4,12
"555",199107102,53,9
"556",199107103,113,11
"557",199107301,1,12
"558",199107302,12,12
"559",199107303,50,15
"560",199107304,72,15
"561",199107305,82,10
"562",199107306,86,14
"563",199107307,112,15
"564",199107308,113,12
"565",199107309,114,12
"566",199107310,147,8
"567",199107311,198,15
"568",199107312,222,8
"569",199107313,225,14
"570",199107316,735,9
"571",199107321,2,8
"572",199107322,70,12
"573",199107601,19,10
"574",199107602,45,12
"575",199107603,103,9
"576",199107604,108,8
"577",199107605,122,11
"578",199107606,127,10
"579",199107607,133,8
"580",199107608,165,15
"581",199107609,199,10
"582",199107610,224,12
"583",199107611,227,2
"584",199107614,760,13
"585",199107615,478,10
"586",199107801,73,8
"587",199107802,83,8
"588",199107803,111,12
"589",199107804,137,11
"590",199107805,176,9
"591",199107901,1,10
"592",199107902,2,10
"593",199107903,8,12
"594",199107904,50,8
"595",199107905,62,15
"596",199107906,84,13
"597",199107907,92,8
"598",199107908,93,13
"599",199107909,152,15
"600",199107910,191,8
"601",199107911,268,15
"602",199108501,122,8
"603",199108502,217,8
"604",199108504,456,14
"605",199108505,125,12
"606",199108507,119,15
"607",199108510,50,15
"608",199108511,103,8
"609",199108901,93,15
"610",199108902,215,11
"611",199109001,47,10
"612",199109002,86,8
"613",199109003,87,15
"614",199109004,107,12
"615",199109005,114,12
"616",199109006,151,8
"617",199109010,70,12
"618",199109201,65,12
"619",199109202,66,10
"620",199109203,169,8
"621",199109204,202,6
"622",199110401,111,15
"623",199110402,142,12
"624",199110403,206,9
"625",199110404,217,8
"626",199110405,280,12
"627",199110901,178,12
"628",199110902,256,8
"629",199111301,115,12
"630",199111302,116,15
"631",199111303,126,12
"632",199111304,178,12
"633",199111401,21,10
"634",199111701,9,10
"635",199111702,112,9
"636",199112001,141,8
"637",199112104,158,15
"638",199112201,66,11
"639",199112202,126,8
"640",199112203,129,15
"641",199112204,202,8
"642",199112401,98,8
"643",199112502,11,9
"644",199112503,19,12
"645",199112504,45,8
"646",199112505,86,8
"647",199112506,127,12
"648",199112507,132,11
"649",199112508,133,14
"650",199112509,143,10
"651",199112510,185,12
"652",199112511,213,12
"653",199112515,54,8
"654",199112521,390,8
"655",199112601,122,8
"656",199112602,135,10
"657",199112603,140,8
"658",199112604,203,15
"659",199112605,251,14
"660",199112607,396,12
"661",199112801,742,12
"662",199112803,12,8
"663",199112901,16,10
"664",199112902,89,14
"665",199112903,126,9
"666",199113201,183,8
"667",199113203,112,8
"668",199113204,83,8
"669",199113301,107,8
"670",199113302,153,11
"671",199113401,4,15
"672",199113402,35,12
"673",199113501,113,12
"674",199113502,128,10
"675",199113503,185,12
"676",199113601,105,12
"677",199113602,112,9
"678",199113603,117,8
"679",199113604,124,2
"680",199113605,125,10
"681",199113606,139,5
"682",199113607,179,8
"683",199113608,247,12
"684",199113609,248,8
"685",199113610,266,11
"686",199113612,60,11
"687",199113701,4,7
"688",199113702,30,9
"689",199113703,35,12
"690",199113801,35,12
"691",199113802,50,15
"692",199113803,92,8
"693",199113804,260,8
"694",199114001,42,15
"695",199114201,13,12
"696",199114202,19,15
"697",199114203,40,12
"698",199114204,73,12
"699",199114205,101,3
"700",199114206,108,8
"701",199114207,110,10
"702",199114208,111,12
"703",199114209,118,12
"704",199114210,119,8
"705",199114211,130,10
"706",199114212,133,8
"707",199114213,257,15
"708",199114214,280,12
"709",199114215,289,15
"710",199114216,301,8
"711",199114217,345,10
"712",199114219,397,12
"713",199114221,407,15
"714",199114222,391,8
"715",199114237,42,8
"716",199114401,9,14
"717",199114402,14,15
"718",199114403,109,15
"719",199114404,112,7
"720",199114405,184,12
"721",199114406,186,12
"722",199114501,3,15
"723",199114601,132,9
"724",199114602,151,11
"725",199114801,4,9
"726",199114802,6,15
"727",199114803,35,12
"728",199114805,158,9
"729",199114806,169,12
"730",199114808,378,12
"731",199114901,131,12
"732",199114902,134,11
"733",199114903,187,12
"734",199115001,53,8
"735",199115002,105,15
"736",199115003,112,11
"737",199115004,128,9
"738",199115005,247,8
"739",199115201,23,12
"740",199115202,40,8
"741",199115203,76,6
"742",199115204,83,15
"743",199115205,119,8
"744",199115206,123,12
"745",199115207,137,12
"746",199115208,341,8
"747",199115209,1214,8
"748",199115210,301,12
"749",199115301,40,15
"750",199115404,4,8
"751",199115504,158,12
"752",199115505,1,15
"753",199115506,4,11
"754",199115601,83,11
"755",199115602,94,8
"756",199115603,102,11
"757",199115604,103,14
"758",199115605,113,15
"759",199115606,117,15
"760",199115607,123,8
"761",199115608,131,8
"762",199115609,134,11
"763",199115610,147,9
"764",199115611,256,12
"765",199115613,272,12
"766",199115701,1,10
"767",199115702,32,11
"768",199115703,47,15
"769",199115704,76,8
"770",199115705,87,12
"771",199115706,114,8
"772",199115707,132,15
"773",199115708,151,10
"774",199115709,194,11
"775",199115710,11,12
"776",199115712,378,8
"777",199115714,167,9
"778",199115801,169,9
"779",199115901,456,8
"780",199116101,2,12
"781",199116102,50,12
"782",199116103,101,12
"783",199116104,148,12
"784",199116105,178,12
"785",199116401,101,14
"786",199116402,110,11
"787",199116403,111,8
"788",199116404,113,8
"789",199116405,130,8
"790",199116406,144,12
"791",199116407,94,8
"792",199116408,131,6
"793",199116501,131,8
"794",199116502,134,3
"795",199116601,222,12
"796",199116701,73,12
"797",199116702,101,8
"798",199116703,111,12
"799",199116704,148,15
"800",199116705,436,12
"801",199116707,86,9
"802",199116709,355,15
"803",199116801,87,11
"804",199116901,3,12
"805",199117101,60,11
"806",199117201,1,12
"807",199117202,2,8
"808",199117204,289,12
"809",199117205,114,10
"810",199200201,4,15
"811",199200301,16,12
"812",199200302,114,12
"813",199200303,202,9
"814",199200305,66,12
"815",199200401,76,12
"816",199200402,112,12
"817",199200403,198,15
"818",199200404,200,10
"819",199200405,210,8
"820",199200411,117,12
"821",199200412,50,15
"822",199200413,113,8
"823",199200501,210,8
"824",199200503,70,11
"825",199200507,48,10
"826",199200601,1,12
"827",199200602,48,15
"828",199200603,70,12
"829",199200604,76,15
"830",199200605,82,11
"831",199200606,86,2
"832",199200607,87,12
"833",199200608,98,8
"834",199200609,152,2
"835",199200610,157,15
"836",199200611,167,8
"837",199200612,222,9
"838",199200615,191,8
"839",199200701,4,8
"840",199200801,46,12
"841",199200803,705,8
"842",199200804,732,12
"843",199201101,4,12
"844",199201102,30,12
"845",199201103,104,8
"846",199201104,158,15
"847",199201105,1050,15
"848",199201201,103,15
"849",199201202,158,8
"850",199201203,209,8
"851",199201301,10,12
"852",199201302,103,11
"853",199201303,115,7
"854",199201304,116,12
"855",199201305,473,12
"856",199201306,742,8
"857",199201309,779,12
"858",199201401,79,15
"859",199201402,208,8
"860",199201501,19,11
"861",199201502,45,2
"862",199201503,54,8
"863",199201504,66,11
"864",199201505,133,11
"865",199201506,143,15
"866",199201507,254,8
"867",199201508,469,12
"868",199201511,760,11
"869",199201512,127,15
"870",199201516,6,8
"871",199201601,2,15
"872",199201602,50,12
"873",199201603,84,8
"874",199201605,6,8
"875",199201701,19,8
"876",199201702,45,11
"877",199201703,133,11
"878",199201704,143,11
"879",199201801,31,8
"880",199201802,53,12
"881",199201803,57,8
"882",199201804,492,15
"883",199201806,484,12
"884",199201902,1215,10
"885",199202001,70,15
"886",199202002,86,15
"887",199202101,9,8
"888",199202102,12,15
"889",199202103,27,8
"890",199202104,193,12
"891",199202106,2,12
"892",199202201,299,12
"893",199202301,12,12
"894",199202402,143,12
"895",199202501,58,15
"896",199202502,59,12
"897",199202601,6,8
"898",199202604,4,12
"899",199202701,2,8
"900",199202702,83,15
"901",199202703,92,12
"902",199202704,93,15
"903",199202705,173,8
"904",199202706,197,12
"905",199202709,186,8
"906",199202801,89,10
"907",199202803,178,8
"908",199202901,164,12
"909",199202902,223,8
"910",199202904,88,12
"911",199203001,368,5
"912",199203003,705,10
"913",199203006,473,12
"914",199203101,164,12
"915",199203102,168,11
"916",199203103,1230,12
"917",199203201,207,12
"918",199203301,168,8
"919",199203401,36,13
"920",199203402,120,15
"921",199203403,190,12
"922",199203404,223,8
"923",199203501,79,11
"924",199203601,202,15
"925",199203602,440,12
"926",199203801,91,2
"927",199203802,164,14
"928",199204001,2,11
"929",199204002,8,12
"930",199204003,31,10
"931",199204004,50,12
"932",199204005,205,12
"933",199204006,212,12
"934",199204007,227,12
"935",199204010,374,8
"936",199204302,138,11
"937",199204601,1221,10
"938",199204702,493,15
"939",199205101,214,8
"940",199205201,233,12
"941",199205202,259,14
"942",199205203,298,10
"943",199205204,453,15
"944",199205301,28,8
"945",199205401,28,12
"946",199205501,1,14
"947",199205502,82,11
"948",199205503,86,14
"949",199205504,137,9
"950",199205505,197,12
"951",199205507,114,8
"952",199205601,1,10
"953",199205602,25,10
"954",199205603,27,8
"955",199205604,48,11
"956",199205605,70,8
"957",199205606,76,12
"958",199205607,82,12
"959",199205608,86,11
"960",199205609,87,8
"961",199205610,98,12
"962",199205611,114,15
"963",199205612,157,12
"964",199205613,191,12
"965",199205614,197,12
"966",199205615,222,8
"967",199205616,228,15
"968",199205617,749,11
"969",199205624,200,10
"970",199205701,259,14
"971",199205702,435,12
"972",199205801,1,15
"973",199205802,48,8
"974",199205803,72,8
"975",199205804,167,8
"976",199205805,191,8
"977",199205806,192,10
"978",199205807,194,12
"979",199205808,213,14
"980",199205809,157,8
"981",199205812,455,8
"982",199205814,712,9
"983",199206101,123,15
"984",199206102,1265,11
"985",199206103,156,11
"986",199206201,2,8
"987",199206202,8,8
"988",199206203,50,10
"989",199206401,4,2
"990",199206402,35,8
"991",199206403,94,12
"992",199206404,113,12
"993",199206406,198,12
"994",199206414,550,8
"995",199206701,122,10
"996",199206703,177,9
"997",199206801,9,9
"998",199206802,86,8
"999",199206804,114,11
"1000",199206805,2,12
"1001",199206806,50,12
"1002",199206901,1,12
"1003",199206902,2,11
"1004",199206903,50,6
"1005",199206904,62,12
"1006",199206905,70,11
"1007",199206906,84,12
"1008",199206907,92,12
"1009",199206908,93,15
"1010",199206910,169,11
"1011",199206911,176,8
"1012",199206912,268,11
"1013",199206914,183,8
"1014",199206916,53,12
"1015",199206921,86,15
"1016",199206922,35,8
"1017",199206923,94,11
"1018",199206924,136,8
"1019",199207001,76,7
"1020",199207002,94,8
"1021",199207101,3,11
"1022",199207201,2,12
"1023",199207202,3,12
"1024",199207203,8,12
"1025",199207204,50,15
"1026",199207205,62,15
"1027",199207206,92,9
"1028",199207207,93,15
"1029",199207208,176,15
"1030",199207209,178,10
"1031",199207210,205,11
"1032",199207211,210,15
"1033",199207212,318,12
"1034",199207214,49,12
"1035",199207215,742,12
"1036",199207216,115,9
"1037",199207218,472,15
"1038",199207301,181,11
"1039",199207501,1,8
"1040",199207502,25,12
"1041",199207503,32,8
"1042",199207504,48,2
"1043",199207505,72,15
"1044",199207506,82,11
"1045",199207507,114,8
"1046",199207508,157,8
"1047",199207509,172,11
"1048",199207510,174,8
"1049",199207511,183,12
"1050",199207512,191,12
"1051",199207513,192,15
"1052",199207514,201,12
"1053",199207515,248,12
"1054",199207516,388,9
"1055",199207517,470,8
"1056",199207520,516,12
"1057",199207601,76,12
"1058",199207602,388,14
"1059",199207603,470,10
"1060",199207701,1,14
"1061",199207702,30,11
"1062",199207703,32,15
"1063",199207704,48,14
"1064",199207705,72,8
"1065",199207706,82,12
"1066",199207707,86,4
"1067",199207708,98,8
"1068",199207709,114,12
"1069",199207710,152,12
"1070",199207711,157,8
"1071",199207712,174,12
"1072",199207713,191,10
"1073",199207714,197,15
"1074",199207715,201,2
"1075",199207716,222,12
"1076",199207717,246,8
"1077",199207801,30,11
"1078",199207802,98,12
"1079",199207803,104,11
"1080",199207804,169,11
"1081",199207805,184,9
"1082",199207806,243,12
"1083",199208001,1,11
"1084",199208002,14,12
"1085",199208003,32,14
"1086",199208004,47,12
"1087",199208005,48,15
"1088",199208006,70,8
"1089",199208007,82,12
"1090",199208008,87,12
"1091",199208009,98,14
"1092",199208010,102,11
"1093",199208011,113,12
"1094",199208012,114,9
"1095",199208013,132,9
"1096",199208014,151,8
"1097",199208015,152,11
"1098",199208016,153,8
"1099",199208017,157,10
"1100",199208019,198,12
"1101",199208020,201,12
"1102",199208028,311,12
"1103",199208031,167,15
"1104",199208201,12,15
"1105",199208203,169,12
"1106",199208301,104,12
"1107",199208302,536,15
"1108",199208501,28,15
"1109",199208502,70,15
"1110",199208503,98,14
"1111",199208504,114,9
"1112",199208506,1,15
"1113",199208507,6,8
"1114",199208508,87,8
"1115",199208601,4,12
"1116",199208602,45,14
"1117",199208701,131,7
"1118",199208801,131,12
"1119",199208802,224,9
"1120",199208803,255,11
"1121",199208901,1,6
"1122",199208902,70,12
"1123",199208903,98,12
"1124",199209001,47,8
"1125",199209002,82,12
"1126",199209003,114,12
"1127",199209004,132,12
"1128",199209005,167,9
"1129",199209006,194,8
"1130",199209201,2,12
"1131",199209202,8,8
"1132",199209203,9,8
"1133",199209204,14,11
"1134",199209205,19,8
"1135",199209206,27,9
"1136",199209207,45,10
"1137",199209208,50,12
"1138",199209209,53,15
"1139",199209210,56,8
"1140",199209211,57,11
"1141",199209212,84,10
"1142",199209213,93,8
"1143",199209214,94,15
"1144",199209215,113,8
"1145",199209216,117,13
"1146",199209217,122,12
"1147",199209218,139,11
"1148",199209219,156,12
"1149",199209220,176,9
"1150",199209221,189,12
"1151",199209222,193,14
"1152",199209223,198,10
"1153",199209224,203,12
"1154",199209225,242,15
"1155",199209226,743,8
"1156",199209231,171,10
"1157",199209233,251,11
"1158",199209241,30,15
"1159",199209242,102,15
"1160",199209301,42,11
"1161",199209302,53,8
"1162",199209303,56,15
"1163",199209304,208,12
"1164",199209305,311,15
"1165",199209306,370,7
"1166",199209307,435,8
"1167",199209308,477,12
"1168",199209311,95,15
"1169",199209312,749,8
"1170",199209315,372,8
"1171",199209316,508,11
"1172",199209401,42,15
"1173",199209501,55,12
"1174",199209502,241,8
"1175",199209503,276,7
"1176",199209504,376,10
"1177",199209505,1484,15
"1178",199209509,164,10
"1179",199300202,163,15
"1180",199300404,104,15
"1181",199300406,158,15
"1182",199300701,254,12
"1183",199300703,164,15
"1184",199300708,220,10
"1185",199301101,114,8
"1186",199301102,105,12
"1187",199301104,294,11
"1188",199301205,161,12
"1189",199301206,101,12
"1190",199301401,1,15
"1191",199301402,48,12
"1192",199301403,98,12
"1193",199301404,87,8
"1194",199301406,191,12
"1195",199301408,626,14
"1196",199301509,113,8
"1197",199301510,94,15
"1198",199301514,76,8
"1199",199301518,12,15
"1200",199301519,198,13
"1201",199301601,221,10
"1202",199301602,257,12
"1203",199301604,111,8
"1204",199301705,224,8
"1205",199301710,236,8
"1206",199301711,79,8
"1207",199301815,31,12
"1208",199301818,164,15
"1209",199301822,105,8
"1210",199301824,128,12
"1211",199301825,53,12
"1212",199301826,349,15
"1213",199301901,47,15
"1214",199301902,151,11
"1215",199301906,82,12
"1216",199301908,87,11
"1217",199302001,1057,11
"1218",199302602,76,8
"1219",199302604,117,8
"1220",199302605,198,8
"1221",199302606,102,8
"1222",199302607,332,12
"1223",199302608,112,12
"1224",199302609,94,12
"1225",199302611,228,13
"1226",199302612,113,12
"1227",199302613,83,11
"1228",199302615,313,10
"1229",199302617,197,12
"1230",199302801,87,11
"1231",199302802,33,9
"1232",199302803,107,10
"1233",199302805,82,15
"1234",199302806,447,8
"1235",199302808,390,11
"1236",199302809,32,14
"1237",199302810,47,12
"1238",199302813,191,11
"1239",199302814,114,9
"1240",199302815,201,11
"1241",199302816,25,11
"1242",199302819,86,14
"1243",199302820,48,12
"1244",199302822,192,8
"1245",199302823,222,11
"1246",199303001,1,6
